CODE,latest_date,latest_year,n_tiles,n_tiles_dated
1,2025-05-01,2025.0,534,517
2,2025-05-10,2025.0,1052,1035
3,2024-05-20,2024.0,783,770
4,2025-07-12,2025.0,2531,2429
5,2025-08-11,2025.0,661,653
6,2025-09-09,2025.0,1233,1187
7,2025-06-11,2025.0,1599,1543
8,2025-07-11,2025.0,1617,1571
9,2025-08-25,2025.0,2368,2294
10,2025-08-05,2025.0,1934,1896
1,2022-08-10,2022.0,99,94
10,2024-05-11,2024.0,1323,1282
11,2025-05-07,2025.0,345,325
13,2025-08-12,2025.0,910,887
14,2025-05-10,2025.0,1641,1615
15,2025-04-29,2025.0,256,249
16,2024-05-11,2024.0,312,310
17,2022-08-07,2022.0,197,101
18,2024-07-30,2024.0,1113,1087
19,2024-08-19,2024.0,646,644
2,2025-05-07,2025.0,426,426
20,2025-06-19,2025.0,142,142
21,2023-09-04,2023.0,250,244
22,2025-08-25,2025.0,698,661
23,2025-05-01,2025.0,598,563
24,2024-05-20,2024.0,263,248
25,2025-05-11,2025.0,2172,2075
26,2025-09-09,2025.0,239,221
27,2025-08-11,2025.0,1906,1859
28,2023-05-21,2023.0,131,131
29,2025-04-30,2025.0,987,982
3,2024-05-19,2024.0,104,102
30,2025-07-12,2025.0,208,205
31,2025-04-06,2025.0,472,465
33,2025-05-01,2025.0,601,577
34,2024-05-20,2024.0,572,552
36,2025-05-10,2025.0,266,258
37,2025-06-19,2025.0,414,402
4,2024-04-30,2024.0,99,98
5,2025-07-04,2025.0,1046,1026
6,2025-05-10,2025.0,1419,1400
7,2025-04-30,2025.0,2346,2278
8,2023-05-28,2023.0,1097,1081
9,2025-05-01,2025.0,126,116
